DATASET,DIMENSIONALITY,NUMBEROFCLASSES,MAJORITYCLASSSIZE,MINORITYCLASSSIZE,NUMBEROFSYMBOLICFEATURES,AUTOCORRELATION,NUMBEROFFEATURES,NUMBEROFINSTANCES,MINORITYCLASSPERCENTAGE,MINNOMINALATTDISTINCTVALUES,PERCENTAGEOFNUMERICFEATURES,PERCENTAGEOFBINARYFEATURES,NUMBEROFBINARYFEATURES,MAXNOMINALATTDISTINCTVALUES,MAJORITYCLASSPERCENTAGE,STDVNOMINALATTDISTINCTVALUES,PERCENTAGEOFSYMBOLICFEATURES,MEANNOMINALATTDISTINCTVALUES,NUMBEROFNUMERICFEATURES
waveform-5000.arff,0.0082,3.0,1692.0,1653.0,1.0,0.3320664132826565,41.0,5000.0,33.06,3.0,97.5609756097561,0.0,0.0,3.0,33.839999999999996,0.0,2.4390243902439024,3.0,40.0
diabetes.arff,0.01171875,2.0,500.0,268.0,1.0,0.5501955671447197,9.0,768.0,34.89583333333333,2.0,88.88888888888889,11.11111111111111,1.0,2.0,65.10416666666666,0.0,11.11111111111111,2.0,8.0
vowel.arff,0.014141414141414142,11.0,90.0,90.0,4.0,0.0,14.0,990.0,9.090909090909092,2.0,71.42857142857143,14.285714285714285,2.0,15.0,9.090909090909092,6.557438524302,28.57142857142857,7.5,10.0
splice.arff,0.019435736677115987,3.0,1655.0,767.0,62.0,0.9993728441517717,62.0,3190.0,24.043887147335425,3.0,0.0,0.0,0.0,3178.0,51.88087774294671,403.0029846111559,100.0,55.935483870967694,0.0
glass.arff,0.04672897196261682,6.0,76.0,9.0,1.0,0.26291079812206575,10.0,214.0,4.205607476635514,6.0,90.0,0.0,0.0,6.0,35.51401869158878,0.0,10.0,6.0,9.0
soybean.arff,0.0527086383601757,19.0,92.0,8.0,36.0,0.9457478005865103,36.0,683.0,1.171303074670571,2.0,0.0,44.44444444444444,16.0,19.0,13.469985358711567,2.884551077834282,100.0,3.2777777777777777,0.0
balance-scale.arff,0.008,3.0,288.0,49.0,1.0,0.6971153846153846,5.0,625.0,7.84,3.0,80.0,0.0,0.0,3.0,46.08,0.0,20.0,3.0,4.0
breast-w.arff,0.01430615164520744,2.0,458.0,241.0,1.0,0.6318051575931232,10.0,699.0,34.47782546494993,2.0,90.0,10.0,1.0,2.0,65.52217453505007,0.0,10.0,2.0,9.0
hepatitis.arff,0.12903225806451613,2.0,123.0,32.0,14.0,0.6558441558441559,20.0,155.0,20.64516129032258,2.0,30.0,70.0,14.0,2.0,79.35483870967742,0.0,70.0,2.0,6.0
mushroom.arff,0.002831117676021664,2.0,4208.0,3916.0,23.0,0.726332635725717,23.0,8124.0,48.20285573609059,1.0,0.0,21.73913043478261,5.0,12.0,51.7971442639094,3.1809710899501766,100.0,5.130434782608695,0.0
heart-statlog.arff,0.05185185185185185,2.0,150.0,120.0,1.0,0.4944237918215613,14.0,270.0,44.44444444444444,2.0,92.85714285714286,7.142857142857142,1.0,2.0,55.55555555555556,0.0,7.142857142857142,2.0,13.0
letter.arff,8.5E-4,26.0,813.0,734.0,1.0,0.04090204510225511,17.0,20000.0,3.6700000000000004,26.0,94.11764705882352,0.0,0.0,26.0,4.0649999999999995,0.0,5.88235294117647,26.0,16.0
audiology.arff,0.30973451327433627,24.0,57.0,1.0,70.0,0.3244444444444444,70.0,226.0,0.4424778761061947,2.0,0.0,87.14285714285714,61.0,24.0,25.221238938053098,2.7063302833328517,100.0,2.5428571428571423,0.0
sonar.arff,0.2932692307692308,2.0,111.0,97.0,1.0,0.9951690821256038,61.0,208.0,46.63461538461539,2.0,98.36065573770492,1.639344262295082,1.0,2.0,53.36538461538461,0.0,1.639344262295082,2.0,60.0
vehicle.arff,0.022458628841607566,4.0,218.0,199.0,1.0,0.2579881656804734,19.0,846.0,23.52245862884161,4.0,94.73684210526315,0.0,0.0,4.0,25.768321513002363,0.0,5.263157894736842,4.0,18.0
sick.arff,0.007953340402969246,2.0,3541.0,231.0,23.0,0.8865022540440202,30.0,3772.0,6.1240721102863205,1.0,23.333333333333332,70.0,21.0,5.0,93.87592788971368,0.668311541278118,76.66666666666667,2.0869565217391304,7.0
colic.arff,0.0625,2.0,232.0,136.0,16.0,0.5449591280653951,23.0,368.0,36.95652173913043,2.0,30.434782608695656,13.043478260869565,3.0,6.0,63.04347826086957,1.1528949070347507,69.56521739130434,3.5625,7.0
zoo.arff,0.1782178217821782,7.0,41.0,4.0,17.0,0.35,18.0,101.0,3.9603960396039604,2.0,5.555555555555555,83.33333333333334,15.0,100.0,40.5940594059406,23.72359212955349,94.44444444444444,8.058823529411763,1.0
credit-g.arff,0.021,2.0,700.0,300.0,14.0,0.5695695695695696,21.0,1000.0,30.0,2.0,33.33333333333333,14.285714285714285,3.0,10.0,70.0,2.0380986614602725,66.66666666666666,4.0,7.0
heart-c.arff,0.0462046204620462,2.0,165.0,138.0,8.0,0.5364238410596026,14.0,303.0,45.54455445544555,2.0,42.857142857142854,21.428571428571427,3.0,4.0,54.45544554455446,0.7440238091428449,57.14285714285714,2.625,6.0
segment.arff,0.008658008658008658,7.0,330.0,330.0,1.0,0.14811606756171503,20.0,2310.0,14.285714285714285,7.0,95.0,0.0,0.0,7.0,14.285714285714285,0.0,5.0,7.0,19.0
breast-cancer.arff,0.03496503496503497,2.0,201.0,85.0,10.0,0.5684210526315789,10.0,286.0,29.72027972027972,2.0,0.0,40.0,4.0,11.0,70.27972027972028,2.9832867780352594,100.0,4.3,0.0
labor.arff,0.2982456140350877,2.0,37.0,20.0,9.0,0.75,17.0,57.0,35.08771929824561,2.0,47.05882352941176,23.52941176470588,4.0,3.0,64.91228070175438,0.5270462766947299,52.94117647058824,2.5555555555555554,8.0
primary-tumor.arff,0.05309734513274336,21.0,84.0,1.0,18.0,0.09763313609467456,18.0,339.0,0.2949852507374631,2.0,0.0,77.77777777777779,14.0,21.0,24.778761061946902,4.453096154304006,100.0,3.2222222222222228,0.0
