task_id,data_id,url,number_of_instances,name,default_target_attribute,ignore_attribute
1934,55,https://www.openml.org/data/download/55/dataset_55_hepatitis.arff,155.0,hepatitis,Class,NULL
1935,56,https://www.openml.org/data/download/56/dataset_56_vote.arff,435.0,vote,Class,NULL
1937,59,https://www.openml.org/data/download/59/dataset_59_ionosphere.arff,351.0,ionosphere,class,NULL
1939,61,https://www.openml.org/data/download/61/dataset_61_iris.arff,150.0,iris,class,NULL
1940,62,https://www.openml.org/data/download/52352/openml_phpZNNasq,101.0,zoo,type,animal
1945,2,https://www.openml.org/data/download/1666876/phpFsFYVN,898.0,anneal,class,NULL
1947,5,https://www.openml.org/data/download/5/dataset_5_arrhythmia.arff,452.0,arrhythmia,class,NULL
1948,7,https://www.openml.org/data/download/7/dataset_7_audiology.arff,226.0,audiology,class,NULL
1949,8,https://www.openml.org/data/download/8/dataset_8_liver-disorders.arff,345.0,liver-disorders,drinks,""selector""
1950,9,https://www.openml.org/data/download/9/dataset_9_autos.arff,205.0,autos,symboling,NULL
1951,10,https://www.openml.org/data/download/10/dataset_10_lymph.arff,148.0,lymph,class,NULL
1952,11,https://www.openml.org/data/download/11/dataset_11_balance-scale.arff,625.0,balance-scale,class,NULL
1954,13,https://www.openml.org/data/download/13/dataset_13_breast-cancer.arff,286.0,breast-cancer,Class,NULL
1956,15,https://www.openml.org/data/download/52350/openml_phpJNxH0q,699.0,breast-w,Class,NULL
1965,25,https://www.openml.org/data/download/25/dataset_25_colic.ORIG.arff,368.0,colic,surgical_lesion,Hospital_Number
1966,27,https://www.openml.org/data/download/27/dataset_27_colic.arff,368.0,colic,surgical_lesion,NULL
1967,29,https://www.openml.org/data/download/29/dataset_29_credit-a.arff,690.0,credit-approval,class,NULL
1968,31,https://www.openml.org/data/download/31/dataset_31_credit-g.arff,1000.0,credit-g,class,NULL
1971,35,https://www.openml.org/data/download/35/dataset_35_dermatology.arff,366.0,dermatology,class,NULL
1973,37,https://www.openml.org/data/download/37/dataset_37_diabetes.arff,768.0,diabetes,class,NULL
1974,39,https://www.openml.org/data/download/39/dataset_39_ecoli.arff,336.0,ecoli,class,NULL
1975,40,https://www.openml.org/data/download/40/dataset_40_sonar.arff,208.0,sonar,Class,NULL
1976,41,https://www.openml.org/data/download/41/dataset_41_glass.arff,214.0,glass,Type,NULL
1977,42,https://www.openml.org/data/download/42/dataset_42_soybean.arff,683.0,soybean,class,NULL
1978,43,https://www.openml.org/data/download/43/dataset_43_haberman.arff,306.0,haberman,Survival_status,NULL
1981,48,https://www.openml.org/data/download/48/dataset_48_tae.arff,151.0,tae,Class_attribute,NULL
1982,49,https://www.openml.org/data/download/49/dataset_49_heart-c.arff,303.0,heart-c,num,NULL
1983,50,https://www.openml.org/data/download/50/dataset_50_tic-tac-toe.arff,958.0,tic-tac-toe,Class,NULL
1984,51,https://www.openml.org/data/download/51/dataset_51_heart-h.arff,294.0,heart-h,num,NULL
1986,53,https://www.openml.org/data/download/53/dataset_53_heart-statlog.arff,270.0,heart-statlog,class,NULL
1987,54,https://www.openml.org/data/download/54/dataset_54_vehicle.arff,846.0,vehicle,Class,NULL
1988,55,https://www.openml.org/data/download/55/dataset_55_hepatitis.arff,155.0,hepatitis,Class,NULL
1989,56,https://www.openml.org/data/download/56/dataset_56_vote.arff,435.0,vote,Class,NULL
1991,59,https://www.openml.org/data/download/59/dataset_59_ionosphere.arff,351.0,ionosphere,class,NULL
1992,61,https://www.openml.org/data/download/61/dataset_61_iris.arff,150.0,iris,class,NULL
1993,62,https://www.openml.org/data/download/52352/openml_phpZNNasq,101.0,zoo,type,animal
2065,171,https://www.openml.org/data/download/3594/dataset_113_primary-tumor.arff,339.0,primary-tumor,class,NULL
2078,186,https://www.openml.org/data/download/3623/dataset_190_braziltourism.arff,412.0,braziltourism,Trips,NULL
2079,188,https://www.openml.org/data/download/3625/dataset_194_eucalyptus.arff,736.0,eucalyptus,Utility,NULL
2104,164,https://www.openml.org/data/download/3585/dataset_106_molecular-biology_promoters.arff,106.0,molecular-biology_promoters,class,NULL
2111,171,https://www.openml.org/data/download/3594/dataset_113_primary-tumor.arff,339.0,primary-tumor,class,NULL
2124,186,https://www.openml.org/data/download/3623/dataset_190_braziltourism.arff,412.0,braziltourism,Trips,NULL
2125,188,https://www.openml.org/data/download/3625/dataset_194_eucalyptus.arff,736.0,eucalyptus,Utility,NULL
2373,164,https://www.openml.org/data/download/3585/dataset_106_molecular-biology_promoters.arff,106.0,molecular-biology_promoters,class,NULL
2382,187,https://www.openml.org/data/download/3624/dataset_191_wine.arff,178.0,wine,class,NULL
2923,164,https://www.openml.org/data/download/3585/dataset_106_molecular-biology_promoters.arff,106.0,molecular-biology_promoters,class,NULL
2930,171,https://www.openml.org/data/download/3594/dataset_113_primary-tumor.arff,339.0,primary-tumor,class,NULL
2943,186,https://www.openml.org/data/download/3623/dataset_190_braziltourism.arff,412.0,braziltourism,Trips,NULL
2944,188,https://www.openml.org/data/download/3625/dataset_194_eucalyptus.arff,736.0,eucalyptus,Utility,NULL
2982,285,https://www.openml.org/data/download/49810/flags.arff,194.0,flags,religion,NULL
2984,164,https://www.openml.org/data/download/3585/dataset_106_molecular-biology_promoters.arff,106.0,molecular-biology_promoters,class,NULL
2993,187,https://www.openml.org/data/download/3624/dataset_191_wine.arff,178.0,wine,class,NULL
3010,25,https://www.openml.org/data/download/25/dataset_25_colic.ORIG.arff,368.0,colic,surgical_lesion,Hospital_Number
3018,285,https://www.openml.org/data/download/49810/flags.arff,194.0,flags,religion,NULL
3022,307,https://www.openml.org/data/download/52210/phpd8EoD9,990.0,vowel,Class,NULL
3023,25,https://www.openml.org/data/download/25/dataset_25_colic.ORIG.arff,368.0,colic,surgical_lesion,Hospital_Number
3034,307,https://www.openml.org/data/download/52210/phpd8EoD9,990.0,vowel,Class,NULL
3045,187,https://www.openml.org/data/download/3624/dataset_191_wine.arff,178.0,wine,class,NULL
3046,285,https://www.openml.org/data/download/49810/flags.arff,194.0,flags,religion,NULL
3047,307,https://www.openml.org/data/download/52210/phpd8EoD9,990.0,vowel,Class,NULL
3049,311,https://www.openml.org/data/download/52215/phpgEDZOc,937.0,oil_spill,class,NULL
3050,327,https://www.openml.org/data/download/52231/phpjuWdq9,105.0,bridges,TYPE,NULL
3051,328,https://www.openml.org/data/download/52232/phplVyjYQ,105.0,bridges,TYPE,NULL
3052,329,https://www.openml.org/data/download/52233/phpRql5hp,160.0,hayes-roth,class,NULL
3053,333,https://www.openml.org/data/download/52236/phpAyyBys,556.0,monks-problems-1,class,NULL
3054,334,https://www.openml.org/data/download/52237/php4fATLZ,601.0,monks-problems-2,class,NULL
3055,335,https://www.openml.org/data/download/52238/phphZierv,554.0,monks-problems-3,class,NULL
3056,336,https://www.openml.org/data/download/52239/phpXxoe1Q,267.0,SPECT,OVERALL_DIAGNOSIS,NULL
3057,337,https://www.openml.org/data/download/52240/phpDQbeeh,349.0,SPECTF,OVERALL_DIAGNOSIS,NULL
3058,338,https://www.openml.org/data/download/52241/phpnYQXoc,155.0,grub-damage,GG_new,NULL
3484,311,https://www.openml.org/data/download/52215/phpgEDZOc,937.0,oil_spill,class,NULL
3486,313,https://www.openml.org/data/download/52217/phpHNcI2h,531.0,spectrometer,LRS-class,""LRS-name""
3489,327,https://www.openml.org/data/download/52231/phpjuWdq9,105.0,bridges,TYPE,NULL
3490,328,https://www.openml.org/data/download/52232/phplVyjYQ,105.0,bridges,TYPE,NULL
3491,329,https://www.openml.org/data/download/52233/phpRql5hp,160.0,hayes-roth,class,NULL
3492,333,https://www.openml.org/data/download/52236/phpAyyBys,556.0,monks-problems-1,class,NULL
3493,334,https://www.openml.org/data/download/52237/php4fATLZ,601.0,monks-problems-2,class,NULL
3494,335,https://www.openml.org/data/download/52238/phphZierv,554.0,monks-problems-3,class,NULL
3495,336,https://www.openml.org/data/download/52239/phpXxoe1Q,267.0,SPECT,OVERALL_DIAGNOSIS,NULL
3496,337,https://www.openml.org/data/download/52240/phpDQbeeh,349.0,SPECTF,OVERALL_DIAGNOSIS,NULL
3497,338,https://www.openml.org/data/download/52241/phpnYQXoc,155.0,grub-damage,GG_new,NULL
3512,377,https://www.openml.org/data/download/52417/synthetic_control.arff,600.0,synthetic_control,class,NULL
3518,383,https://www.openml.org/data/download/52495/tr45.wc.arff,690.0,tr45.wc,CLASS_LABEL,NULL
3519,384,https://www.openml.org/data/download/52496/tr21.wc.arff,336.0,tr21.wc,CLASS_LABEL,NULL
3520,385,https://www.openml.org/data/download/52497/tr31.wc.arff,927.0,tr31.wc,CLASS_LABEL,NULL
3521,386,https://www.openml.org/data/download/52498/oh15.wc.arff,913.0,oh15.wc,CLASS_LABEL,NULL
3522,387,https://www.openml.org/data/download/52499/tr11.wc.arff,414.0,tr11.wc,CLASS_LABEL,NULL
3523,388,https://www.openml.org/data/download/52500/tr23.wc.arff,204.0,tr23.wc,CLASS_LABEL,NULL
3529,394,https://www.openml.org/data/download/52506/oh5.wc.arff,918.0,oh5.wc,CLASS_LABEL,NULL
3532,397,https://www.openml.org/data/download/52509/tr12.wc.arff,313.0,tr12.wc,CLASS_LABEL,NULL
3535,400,https://www.openml.org/data/download/52512/tr41.wc.arff,878.0,tr41.wc,CLASS_LABEL,NULL
3538,444,https://www.openml.org/data/download/52556/analcatdata_boxing2.arff,132.0,analcatdata_boxing2,Winner,NULL
3539,446,https://www.openml.org/data/download/52558/prnn_crabs.arff,200.0,prnn_crabs,sp,NULL
3540,448,https://www.openml.org/data/download/52560/analcatdata_boxing1.arff,120.0,analcatdata_boxing1,Winner,NULL
3542,450,https://www.openml.org/data/download/52562/analcatdata_lawsuit.arff,264.0,analcatdata_lawsuit,Laid.off,NULL
3543,451,https://www.openml.org/data/download/52563/irish.arff,500.0,irish,Leaving_Certificate,NULL
3544,452,https://www.openml.org/data/download/52564/analcatdata_broadwaymult.arff,285.0,analcatdata_broadwaymult,Count,NULL
3547,455,https://www.openml.org/data/download/52567/cars.arff,406.0,cars,origin,""name""
3549,458,https://www.openml.org/data/download/52570/analcatdata_authorship.arff,841.0,analcatdata_authorship,Author,NULL
3551,460,https://www.openml.org/data/download/52572/analcatdata_reviewer.arff,379.0,analcatdata_reviewer,Roger_Ebert,""Film""
3552,461,https://www.openml.org/data/download/52573/analcatdata_creditscore.arff,100.0,analcatdata_creditscore,Application.accepted,NULL
3554,463,https://www.openml.org/data/download/52575/backache.arff,180.0,backache,col_33,NULL
3555,464,https://www.openml.org/data/download/52576/prnn_synth.arff,250.0,prnn_synth,yc,NULL
3557,466,https://www.openml.org/data/download/52578/schizo.arff,340.0,schizo,class,NULL
3560,469,https://www.openml.org/data/download/52581/analcatdata_dmft.arff,797.0,analcatdata_dmft,Prevention,NULL
3561,470,https://www.openml.org/data/download/52582/profb.arff,672.0,profb,Home/Away,NULL
3563,474,https://www.openml.org/data/download/52586/analcatdata_marketing.arff,364.0,analcatdata_marketing,X1a,NULL
3564,475,https://www.openml.org/data/download/52587/analcatdata_germangss.arff,400.0,analcatdata_germangss,Political_system,NULL
3570,481,https://www.openml.org/data/download/52593/biomed.arff,209.0,biomed,class,NULL
3577,685,https://www.openml.org/data/download/52985/visualizing_livestock.arff,130.0,visualizing_livestock,livestocktype,NULL
3578,694,https://www.openml.org/data/download/52994/diggle_table_a2.arff,310.0,diggle_table_a2,col_1,NULL
3580,714,https://www.openml.org/data/download/53248/fruitfly.arff,125.0,fruitfly,binaryClass,NULL
3581,715,https://www.openml.org/data/download/53249/fri_c3_1000_25.arff,1000.0,fri_c3_1000_25,binaryClass,NULL
3582,716,https://www.openml.org/data/download/53250/fri_c3_100_50.arff,100.0,fri_c3_100_50,binaryClass,NULL
3583,717,https://www.openml.org/data/download/53251/rmftsa_ladata.arff,508.0,rmftsa_ladata,binaryClass,NULL
3584,718,https://www.openml.org/data/download/53252/fri_c4_1000_100.arff,1000.0,fri_c4_1000_100,binaryClass,NULL
3585,719,https://www.openml.org/data/download/53253/veteran.arff,137.0,veteran,binaryClass,NULL
3587,721,https://www.openml.org/data/download/53255/pwLinear.arff,200.0,pwLinear,binaryClass,NULL
3589,723,https://www.openml.org/data/download/53257/fri_c4_1000_25.arff,1000.0,fri_c4_1000_25,binaryClass,NULL
3590,724,https://www.openml.org/data/download/53258/analcatdata_vineyard.arff,468.0,analcatdata_vineyard,binaryClass,NULL
3592,726,https://www.openml.org/data/download/53260/fri_c2_100_5.arff,100.0,fri_c2_100_5,binaryClass,NULL
3596,730,https://www.openml.org/data/download/53264/fri_c1_250_5.arff,250.0,fri_c1_250_5,binaryClass,NULL
3598,732,https://www.openml.org/data/download/53266/fri_c0_250_50.arff,250.0,fri_c0_250_50,binaryClass,NULL
3599,733,https://www.openml.org/data/download/53267/machine_cpu.arff,209.0,machine_cpu,binaryClass,NULL
3602,736,https://www.openml.org/data/download/53270/visualizing_environmental.arff,111.0,visualizing_environmental,binaryClass,NULL
3604,738,https://www.openml.org/data/download/53272/pharynx.arff,195.0,pharynx,binaryClass,""Entry""
3606,740,https://www.openml.org/data/download/53274/fri_c3_1000_10.arff,1000.0,fri_c3_1000_10,binaryClass,NULL
3608,742,https://www.openml.org/data/download/53276/fri_c4_500_100.arff,500.0,fri_c4_500_100,binaryClass,NULL
3609,743,https://www.openml.org/data/download/53277/fri_c1_1000_5.arff,1000.0,fri_c1_1000_5,binaryClass,NULL
3610,744,https://www.openml.org/data/download/53278/fri_c3_250_5.arff,250.0,fri_c3_250_5,binaryClass,NULL
3611,745,https://www.openml.org/data/download/53279/auto_price.arff,159.0,auto_price,binaryClass,NULL
3612,746,https://www.openml.org/data/download/53280/fri_c1_250_25.arff,250.0,fri_c1_250_25,binaryClass,NULL
3613,747,https://www.openml.org/data/download/53281/servo.arff,167.0,servo,binaryClass,NULL
3614,748,https://www.openml.org/data/download/53282/analcatdata_wildcat.arff,163.0,analcatdata_wildcat,binaryClass,NULL
3615,749,https://www.openml.org/data/download/53283/fri_c3_500_5.arff,500.0,fri_c3_500_5,binaryClass,NULL
3616,750,https://www.openml.org/data/download/53284/pm10.arff,500.0,pm10,binaryClass,NULL
3617,751,https://www.openml.org/data/download/53285/fri_c4_1000_10.arff,1000.0,fri_c4_1000_10,binaryClass,NULL
3619,753,https://www.openml.org/data/download/53287/wisconsin.arff,194.0,wisconsin,binaryClass,NULL
3620,754,https://www.openml.org/data/download/53288/fri_c0_100_5.arff,100.0,fri_c0_100_5,binaryClass,NULL
3622,756,https://www.openml.org/data/download/53290/autoPrice.arff,159.0,autoPrice,binaryClass,NULL
3623,757,https://www.openml.org/data/download/53291/meta.arff,528.0,meta,binaryClass,NULL
3628,762,https://www.openml.org/data/download/53296/fri_c2_100_10.arff,100.0,fri_c2_100_10,binaryClass,NULL
3629,763,https://www.openml.org/data/download/53297/fri_c0_250_10.arff,250.0,fri_c0_250_10,binaryClass,NULL
3630,764,https://www.openml.org/data/download/53298/analcatdata_apnea3.arff,450.0,analcatdata_apnea3,binaryClass,NULL
3631,765,https://www.openml.org/data/download/53299/analcatdata_apnea2.arff,475.0,analcatdata_apnea2,binaryClass,NULL
3632,766,https://www.openml.org/data/download/53300/fri_c1_500_50.arff,500.0,fri_c1_500_50,binaryClass,NULL
3633,767,https://www.openml.org/data/download/53301/analcatdata_apnea1.arff,475.0,analcatdata_apnea1,binaryClass,NULL
3634,768,https://www.openml.org/data/download/53302/fri_c3_100_25.arff,100.0,fri_c3_100_25,binaryClass,NULL
3635,769,https://www.openml.org/data/download/53303/fri_c1_250_50.arff,250.0,fri_c1_250_50,binaryClass,NULL
3636,770,https://www.openml.org/data/download/53304/strikes.arff,625.0,strikes,binaryClass,NULL
3637,771,https://www.openml.org/data/download/53305/analcatdata_michiganacc.arff,108.0,analcatdata_michiganacc,binaryClass,NULL
3639,773,https://www.openml.org/data/download/53307/fri_c0_250_25.arff,250.0,fri_c0_250_25,binaryClass,NULL
3640,774,https://www.openml.org/data/download/53308/disclosure_x_bias.arff,662.0,disclosure_x_bias,binaryClass,NULL
