@relation mofn-3-7-10

@attribute Bit-0 {0,1}
@attribute Bit-1 {0,1}
@attribute Bit-2 {0,1}
@attribute Bit-3 {0,1}
@attribute Bit-4 {0,1}
@attribute Bit-5 {0,1}
@attribute Bit-6 {0,1}
@attribute Bit-7 {0,1}
@attribute Bit-8 {0,1}
@attribute Bit-9 {0,1}
@attribute class {0,1}

@data
1,1,0,0,0,1,0,1,1,1,1
0,0,0,1,0,1,1,1,0,1,1
1,1,1,1,0,0,1,0,1,0,1
0,1,0,1,0,1,1,1,1,0,1
1,0,0,0,1,0,1,0,1,0,1
1,1,1,0,1,1,1,1,1,0,1
0,0,0,1,1,0,0,1,0,0,1
0,1,1,1,1,0,1,0,0,1,1
1,0,0,0,1,0,0,1,1,1,1
1,1,0,1,1,1,0,1,0,0,1
0,1,1,0,0,0,0,1,1,1,1
0,0,1,1,0,0,0,0,1,1,1
0,1,1,0,0,1,0,0,0,1,0
1,0,1,0,1,0,0,0,1,1,1
1,1,1,1,1,0,0,1,0,0,1
0,0,0,0,1,0,1,0,1,1,1
1,0,1,1,1,1,1,0,1,0,1
1,0,1,1,1,0,1,0,0,1,1
1,0,0,0,0,0,1,0,1,0,0
0,0,1,1,1,0,0,0,0,1,1
1,0,1,0,0,0,1,0,0,0,0
1,1,0,1,0,1,1,0,0,1,1
0,1,1,0,1,1,0,0,0,1,1
0,0,0,0,0,1,1,0,1,1,1
1,1,0,1,1,1,1,1,0,1,1
0,0,0,1,0,1,0,1,0,1,1
1,0,1,1,1,1,0,1,0,0,1
0,1,1,0,0,1,0,1,0,1,1
0,1,0,0,0,1,1,1,1,1,1
0,1,0,1,1,0,0,0,1,1,1
0,0,0,0,1,0,1,0,0,1,0
0,1,0,0,0,1,1,1,1,0,1
0,1,1,1,1,1,1,0,1,0,1
0,1,0,0,1,0,0,1,0,1,0
1,0,1,1,0,0,0,1,0,0,1
0,0,0,1,0,1,0,1,1,0,1
1,0,1,0,0,0,0,0,1,1,0
0,1,1,0,1,0,0,0,1,1,1
1,0,0,0,1,0,1,0,0,1,0
1,0,0,0,0,0,0,1,0,1,0
1,0,0,0,0,1,1,1,0,1,1
0,1,1,1,1,1,0,0,1,0,1
0,0,0,0,1,1,0,1,1,1,1
1,1,0,0,0,0,1,0,1,1,0
1,0,1,1,0,0,0,1,1,0,1
0,1,1,0,0,0,1,1,0,0,1
1,0,1,1,0,1,1,1,1,0,1
0,0,1,0,1,0,1,1,0,1,1
0,0,0,1,1,0,0,1,1,0,1
0,1,1,1,0,0,1,0,0,1,1
1,0,0,0,0,0,0,1,1,0,0
1,1,0,1,1,1,0,0,0,0,1
1,1,1,0,0,0,1,1,0,0,1
0,1,0,1,0,1,1,1,1,1,1
1,0,1,1,1,1,0,0,1,0,1
0,0,1,0,0,1,1,0,1,1,1
0,0,0,0,1,0,0,0,1,0,0
0,1,1,0,0,0,1,0,0,0,0
0,0,0,0,0,1,1,0,0,1,0
1,0,0,1,1,0,1,0,0,0,1
0,1,1,0,0,0,0,1,1,0,1
0,0,0,0,0,1,1,1,0,0,1
0,1,1,1,1,0,0,0,0,0,1
1,1,1,1,0,1,0,1,0,0,1
0,1,0,1,0,1,0,0,1,1,1
0,0,0,1,0,0,1,1,0,0,1
0,1,1,0,0,1,0,0,1,0,1
1,1,1,1,0,0,0,0,1,1,1
1,1,0,1,0,1,1,1,1,1,1
1,1,0,1,1,1,0,0,0,1,1
0,0,0,0,1,0,0,1,0,1,0
1,0,1,1,0,0,0,0,0,1,0
0,0,1,1,1,1,0,0,1,1,1
1,1,0,0,1,0,1,1,0,0,1
1,1,1,0,1,0,0,1,0,1,1
1,0,0,1,0,1,1,1,1,1,1
0,1,1,0,0,0,0,0,0,1,0
1,0,1,1,0,0,0,1,1,1,1
1,0,1,0,0,1,1,1,1,0,1
0,0,0,1,1,1,1,0,1,0,1
0,0,0,1,0,1,0,1,0,0,1
0,0,0,1,1,1,1,1,0,0,1
1,0,1,1,0,0,1,1,0,1,1
0,0,1,1,1,1,1,1,1,0,1
1,1,0,0,0,1,1,0,1,1,1
1,0,1,0,0,0,0,0,0,1,0
1,0,1,1,1,0,1,1,1,1,1
0,1,0,1,1,1,0,1,0,1,1
0,1,1,1,1,1,0,0,1,1,1
1,1,0,0,0,1,0,1,0,1,0
1,1,0,1,1,1,0,0,1,1,1
0,1,1,1,1,0,1,1,1,0,1
1,0,1,0,1,1,0,0,1,1,1
0,0,1,0,1,0,1,0,0,0,1
0,1,0,0,0,1,0,1,1,0,1
1,1,0,0,0,0,1,1,1,1,1
0,1,0,1,0,0,0,0,1,0,0
1,1,1,1,0,0,1,1,1,1,1
1,0,1,0,0,1,0,0,0,1,0
0,0,1,0,1,0,0,0,1,1,1
0,0,1,0,0,0,0,1,1,0,1
1,1,0,1,1,1,1,1,1,0,1
1,1,1,1,0,0,1,1,0,1,1
0,1,0,1,1,0,1,1,0,1,1
1,0,0,0,0,0,0,1,1,1,0
1,1,1,0,0,1,1,1,1,1,1
1,0,1,0,1,0,0,1,0,1,1
0,0,1,0,0,0,1,1,0,0,1
1,1,1,1,1,1,1,1,1,1,1
0,0,1,0,1,0,0,1,0,1,1
1,0,0,1,1,1,1,1,1,1,1
1,0,0,0,0,0,1,1,0,1,0
1,0,0,1,1,1,1,1,0,1,1
0,0,0,0,0,0,1,0,0,1,0
0,1,1,1,0,0,0,1,1,1,1
1,0,1,1,0,0,1,1,0,0,1
0,1,1,0,0,1,0,1,1,0,1
0,0,1,1,0,1,1,1,0,1,1
1,1,1,0,0,1,0,0,0,1,0
1,0,1,0,0,0,1,1,1,1,1
1,0,1,0,1,0,1,1,0,1,1
0,0,0,1,1,0,1,0,0,0,1
0,0,0,1,1,1,0,0,0,1,1
0,1,0,0,1,1,0,0,1,0,1
0,0,0,0,0,1,0,0,1,1,0
0,1,1,1,1,0,0,1,0,1,1
1,1,0,0,1,0,1,1,1,1,1
0,1,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,1,0
1,0,0,0,0,0,1,1,1,0,1
1,1,0,0,1,0,0,0,1,0,0
1,1,1,0,0,0,1,0,0,0,0
1,0,1,1,0,1,0,0,0,1,1
1,0,0,1,0,1,0,0,0,0,0
0,0,0,1,1,0,1,1,1,1,1
0,0,0,0,0,1,0,0,0,1,0
0,1,1,0,0,1,1,0,0,1,1
0,1,1,1,0,1,0,0,1,0,1
0,0,0,1,0,1,1,1,1,1,1
0,1,1,0,0,0,0,0,1,1,0
1,1,0,0,1,1,1,0,0,0,1
0,0,1,0,1,0,1,1,1,1,1
0,0,1,1,0,1,0,1,0,1,1
0,0,0,1,1,1,0,0,0,0,1
1,1,1,1,0,0,1,1,0,0,1
1,1,1,0,1,0,1,1,1,0,1
1,0,0,0,1,1,1,0,0,0,1
1,1,0,1,1,0,0,1,0,1,1
0,0,1,0,0,0,0,1,1,1,1
1,1,1,0,0,1,1,1,0,0,1
0,0,1,1,1,0,0,1,1,0,1
1,1,0,0,0,1,1,0,0,0,0
1,0,0,1,0,1,1,0,0,0,1
0,0,1,1,0,0,1,0,1,1,1
1,0,0,0,0,1,1,1,1,0,1
1,0,0,1,1,1,1,0,1,0,1
0,1,1,1,1,0,1,1,0,0,1
0,0,1,1,0,0,1,0,0,0,1
1,1,1,1,1,0,0,0,0,1,1
0,1,1,0,0,1,0,1,1,1,1
0,0,0,1,0,1,0,0,1,1,1
1,1,1,1,1,0,1,1,1,1,1
1,1,0,1,0,0,1,1,1,0,1
0,0,0,0,0,1,0,1,0,0,0
1,0,1,1,1,0,0,0,1,0,1
1,1,1,0,1,0,1,1,1,1,1
1,0,1,0,1,1,1,0,0,0,1
1,0,1,0,0,1,0,1,0,0,1
1,0,0,1,1,1,1,0,1,1,1
1,0,1,0,0,0,1,0,1,1,1
1,0,0,0,1,0,0,0,1,0,0
0,0,0,1,1,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0
0,0,1,0,0,0,0,1,0,0,0
0,0,1,0,1,1,0,1,1,0,1
0,0,1,1,0,1,1,0,0,0,1
1,0,0,1,0,1,1,0,1,0,1
0,1,0,1,1,0,1,0,1,0,1
0,1,1,1,1,1,1,0,0,0,1
0,1,1,0,1,0,1,0,0,1,1
0,0,1,1,0,0,0,1,1,0,1
0,1,1,1,1,1,0,1,1,1,1
0,0,1,0,1,0,0,1,1,1,1
0,0,1,1,1,0,1,0,0,0,1
0,1,1,1,0,1,1,0,1,0,1
1,0,0,0,0,1,0,0,0,1,0
1,1,0,1,0,0,1,1,0,1,1
0,0,1,1,1,0,0,1,0,0,1
0,1,0,0,0,0,1,0,0,0,0
1,1,0,0,1,1,1,1,1,1,1
0,0,1,0,1,1,1,0,1,0,1
0,0,0,0,1,0,0,1,1,0,1
1,1,0,1,1,1,1,0,0,0,1
1,0,1,0,1,1,0,1,0,0,1
0,1,0,1,1,1,1,0,1,1,1
0,0,0,1,0,0,1,0,0,1,0
0,1,1,1,1,1,0,0,0,0,1
0,1,0,0,0,1,0,1,0,1,0
0,0,1,1,0,1,1,1,0,0,1
1,0,0,0,1,0,1,1,0,0,1
0,0,0,0,0,0,1,1,1,1,1
1,1,1,0,0,0,0,1,1,1,1
1,1,0,0,0,1,0,0,0,0,0
0,1,1,0,0,0,0,1,0,0,0
0,1,0,1,0,1,0,0,0,0,0
0,1,1,1,0,1,0,0,0,0,1
0,0,1,1,1,0,1,0,1,1,1
1,1,1,0,0,1,1,0,0,1,1
1,1,0,0,1,1,1,1,0,1,1
0,0,1,0,1,0,0,0,0,0,0
1,0,1,1,1,1,1,0,0,1,1
1,0,0,0,0,1,0,0,1,0,0
1,0,0,0,0,0,0,0,0,1,0
1,1,0,1,0,0,0,0,1,1,0
0,0,1,0,1,1,0,0,0,1,1
1,0,0,0,0,1,1,0,1,0,1
0,1,0,1,0,0,0,1,0,0,0
0,0,1,1,1,1,0,0,0,1,1
0,1,1,1,1,1,0,1,0,1,1
1,1,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,1,0,1
0,1,1,0,1,1,1,1,1,1,1
1,0,0,0,1,1,1,0,0,1,1
1,0,1,1,1,1,1,0,1,1,1
0,1,1,0,0,0,1,0,1,0,1
1,0,0,0,1,0,1,1,1,0,1
1,0,0,1,1,1,0,1,0,1,1
0,1,1,1,0,1,1,1,1,0,1
0,0,1,0,1,0,1,0,1,0,1
0,0,1,1,1,1,1,0,0,1,1
1,1,1,0,1,1,0,0,1,0,1
1,1,1,0,1,1,1,0,1,0,1
0,0,1,0,1,0,0,0,1,0,1
0,0,0,0,1,1,0,0,0,1,0
1,0,0,0,1,1,0,1,0,0,1
0,0,1,0,1,1,0,1,0,0,1
0,1,0,1,1,0,1,0,1,1,1
1,1,1,1,1,1,0,0,0,1,1
0,1,0,1,0,1,1,0,1,0,1
0,1,0,1,0,0,1,0,1,0,1
1,1,1,1,1,0,0,0,1,0,1
0,1,0,1,0,0,1,1,1,1,1
1,1,1,1,1,1,0,0,0,0,1
1,1,0,0,1,0,0,1,0,0,0
0,1,0,1,1,1,0,1,1,0,1
0,1,1,0,1,1,0,1,0,0,1
1,1,0,0,1,1,1,0,1,1,1
0,0,0,0,1,0,1,1,1,0,1
1,1,0,0,0,0,0,1,0,1,0
0,0,1,0,1,1,1,1,1,0,1
1,0,0,1,1,1,1,1,0,0,1
1,0,0,1,1,1,0,0,1,0,1
0,1,0,1,0,0,1,0,1,0,1
1,1,1,1,0,1,0,0,0,1,1
1,1,0,1,0,1,0,1,0,0,1
1,0,1,0,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,0,1,1
1,1,0,1,1,0,1,0,0,1,1
1,1,1,0,1,1,0,1,0,1,1
1,1,1,0,1,0,0,0,1,0,1
0,1,1,0,1,0,0,1,0,0,1
0,1,1,1,1,0,0,1,1,1,1
1,1,1,1,1,0,1,0,0,0,1
1,0,0,1,1,0,0,1,1,0,1
0,1,0,1,1,0,1,0,1,1,1
1,0,0,0,1,1,1,0,0,0,1
0,0,1,1,1,1,1,1,0,1,1
0,1,0,1,1,1,0,1,1,0,1
1,1,0,0,1,0,1,0,1,1,1
0,0,0,1,1,1,1,1,1,0,1
1,0,0,1,1,1,0,1,0,0,1
0,0,0,0,0,1,0,1,0,0,0
0,1,1,1,0,0,0,1,0,0,1
1,1,0,0,0,1,1,1,1,0,1
1,0,1,0,0,0,0,0,0,1,0
1,0,1,0,0,1,0,0,0,0,0
0,0,1,1,1,1,1,0,1,1,1
0,1,0,0,0,1,0,0,1,0,0
1,1,0,0,1,1,1,1,1,1,1
1,1,1,1,0,0,1,0,0,1,1
1,1,1,0,0,1,0,0,1,0,1
0,1,1,0,1,1,1,1,1,1,1
1,1,0,0,1,0,0,0,1,0,0
0,0,1,0,0,0,0,1,1,1,1
1,1,0,0,1,0,1,1,1,1,1
0,0,0,1,0,0,1,0,0,1,0
0,0,1,0,0,0,0,0,1,0,0
0,0,0,0,1,0,0,0,1,1,0
0,0,1,1,1,1,0,1,1,0,1
0,0,0,1,1,0,1,1,0,0,1
1,1,1,1,1,0,1,0,1,0,1
0,0,1,0,1,0,0,1,1,0,1
0,0,0,0,0,1,1,1,1,1,1
1,0,0,0,0,0,1,1,1,0,1
0,1,0,1,1,1,1,0,0,1,1
0,0,1,1,1,1,0,1,0,1,1
1,0,0,1,1,0,1,0,1,1,1
0,1,1,1,1,0,1,0,0,1,1
1,1,0,0,1,1,0,1,1,0,1
0,0,1,0,0,0,0,1,0,0,0
0,0,1,1,1,0,1,1,1,1,1
0,1,1,0,0,0,0,0,0,0,0
1,1,1,0,1,1,1,1,0,0,1
1,0,0,0,1,0,0,0,1,0,0
0,1,0,1,1,1,1,0,1,1,1
0,0,0,1,0,1,1,1,0,1,1
1,1,0,1,1,1,1,1,1,0,1
1,1,1,0,0,0,1,0,0,1,0
1,1,0,1,0,1,0,0,0,0,0
1,0,1,1,0,0,0,0,0,0,0
0,1,1,1,1,0,1,1,0,0,1
0,0,1,1,0,0,1,0,0,0,1
1,0,0,1,1,0,0,0,0,1,0
0,1,1,0,0,1,0,1,0,0,1
0,0,0,0,1,0,1,1,0,0,1
0,0,1,0,0,0,0,1,0,1,0
1,1,1,1,0,1,1,1,1,1,1
0,0,1,1,0,0,1,1,1,0,1
1,0,1,1,1,1,0,0,0,0,1
1,1,0,1,1,0,1,1,0,0,1
1,0,1,0,1,1,1,0,1,0,1
1,0,1,0,0,1,1,0,0,1,1
1,0,0,1,1,0,0,1,0,0,1
1,1,1,0,1,1,0,0,0,1,1
0,1,1,1,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,0,0,0
1,0,1,0,0,1,0,1,1,1,1
0,1,0,1,1,0,1,1,1,1,1
1,1,1,0,1,0,1,1,1,0,1
0,1,1,1,0,0,0,1,1,1,1
0,0,1,1,1,0,1,0,0,0,1
0,0,1,1,1,0,0,1,1,1,1
0,1,0,1,1,1,0,0,1,1,1
0,0,1,1,0,0,1,0,1,0,1
0,0,0,0,0,1,0,0,0,1,0
1,1,0,1,1,1,1,0,1,0,1
0,0,0,1,1,1,0,1,0,0,1
1,0,1,1,0,0,1,0,0,0,1
0,0,0,1,1,0,0,0,0,1,0
0,0,1,1,0,0,1,1,1,1,1
1,1,1,1,0,1,0,0,0,0,1
0,1,1,0,1,0,1,1,0,1,1
0,1,1,1,1,0,0,1,1,0,1
1,1,1,1,0,1,1,0,0,0,1
0,0,1,0,1,0,1,1,1,0,1
0,1,1,1,0,1,1,1,1,1,1
1,1,1,1,0,1,1,1,0,1,1
1,1,1,0,0,1,1,1,1,0,1
0,1,0,0,1,0,0,0,0,1,0
0,1,1,1,0,0,1,0,1,1,1
1,0,1,1,1,0,0,0,1,0,1
1,0,0,0,0,1,0,1,0,0,0
1,0,1,0,1,1,1,1,0,1,1
0,1,0,0,0,1,0,1,0,0,0
1,1,0,0,1,0,0,0,1,1,0
1,0,0,1,1,1,1,1,1,1,1
0,0,1,0,1,1,1,0,1,0,1
1,0,1,1,1,1,1,0,0,1,1
0,0,0,0,0,1,0,0,1,0,0
0,1,1,1,1,0,0,0,0,0,1
0,1,0,0,1,0,1,1,1,1,1
0,0,0,0,1,1,1,0,0,1,1
0,0,1,1,0,0,0,1,0,1,1
0,1,0,1,1,0,0,0,0,0,0
0,1,0,0,1,0,1,0,0,0,0
0,1,0,0,1,1,0,1,1,0,1
1,0,0,1,0,1,1,1,0,0,1
1,1,1,1,1,1,0,1,0,1,1
1,0,1,0,0,1,0,1,0,0,1
1,1,1,0,0,1,0,0,1,1,1
1,1,1,0,1,0,0,1,0,0,1
0,1,0,1,0,1,1,0,0,1,1
1,1,1,1,0,0,0,0,0,1,0
1,1,0,1,0,1,1,1,0,0,1
0,0,0,0,1,1,0,1,0,1,1
1,1,0,0,0,0,0,0,1,0,0
1,0,1,0,1,1,1,1,0,0,1
0,1,0,1,1,0,0,0,1,1,1
1,0,0,1,1,0,0,0,1,0,1
1,0,0,0,0,0,0,1,0,0,0
0,0,1,1,1,1,1,1,1,0,1
0,1,1,0,0,1,0,1,0,1,1
0,1,0,0,1,1,1,1,0,1,1
0,1,1,1,0,0,1,0,1,0,1
1,1,0,1,0,1,0,0,0,1,0
0,1,1,0,0,0,1,1,0,0,1
0,0,0,0,1,1,1,1,0,1,1
1,0,0,0,0,0,0,0,1,1,0
1,1,1,0,1,1,1,1,1,1,1
0,0,0,1,0,1,0,1,0,1,1
1,1,0,1,1,1,1,1,1,1,1
1,1,1,1,0,1,0,1,0,1,1
1,1,1,0,1,1,0,0,1,1,1
0,1,1,0,1,0,0,0,1,1,1
0,0,1,1,0,0,1,1,0,0,1
0,1,0,1,1,0,1,0,0,1,1
1,1,1,0,1,1,0,1,1,1,1
1,1,0,0,1,1,1,0,1,0,1
0,1,0,1,1,1,1,1,0,1,1
0,0,1,1,0,0,0,1,0,0,1
0,1,1,0,0,1,0,0,0,0,0
0,1,0,0,1,0,0,0,1,1,0
0,0,0,0,0,0,0,1,0,1,0
1,0,1,0,0,0,0,1,1,0,1
1,1,1,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0
1,0,1,0,1,1,1,0,0,0,1
0,0,1,0,0,0,0,1,1,0,1
0,1,0,0,1,0,0,1,1,1,1
1,0,1,1,0,1,1,1,1,1,1
0,0,0,0,0,1,1,1,0,0,1
1,0,1,1,1,1,1,1,1,0,1
0,1,1,0,1,0,1,0,1,1,1
1,1,1,1,0,1,1,0,0,1,1
0,0,0,1,0,1,0,0,1,1,1
1,1,0,0,0,0,0,0,0,0,0
1,1,1,0,1,1,1,0,0,0,1
0,1,0,0,0,1,0,1,0,1,0
1,0,0,1,0,1,1,1,1,1,1
1,1,0,1,0,0,1,0,1,0,1
1,0,0,0,1,1,1,1,1,1,1
0,1,0,1,1,0,0,1,0,1,1
1,0,0,1,1,1,1,0,0,1,1
0,0,0,1,1,1,0,1,0,1,1
0,0,0,1,1,0,1,0,1,0,1
1,0,0,1,1,1,0,1,0,1,1
1,0,1,1,1,1,0,1,1,1,1
1,0,0,0,1,1,0,1,0,0,1
0,1,1,0,1,1,1,1,0,0,1
0,0,1,1,0,1,1,1,1,1,1
1,0,0,1,1,0,1,1,1,0,1
0,1,0,1,1,0,1,0,0,0,1
1,0,0,0,0,0,1,0,1,0,0
1,1,1,1,1,0,0,0,0,0,1
0,1,0,0,1,1,1,0,0,0,1
1,0,1,0,0,0,1,0,1,1,1
0,0,1,0,0,1,1,1,1,1,1
0,0,1,1,1,0,1,1,1,0,1
1,1,0,1,1,0,1,1,1,1,1
0,1,1,0,1,1,1,0,0,1,1
1,0,0,0,1,1,1,1,0,1,1
1,1,1,0,1,1,0,1,0,0,1
1,0,0,1,0,0,0,1,1,1,1
1,0,1,0,1,1,0,0,0,1,1
1,1,1,1,0,0,1,0,1,0,1
0,1,1,0,0,1,0,1,1,1,1
0,0,1,1,1,0,1,1,0,0,1
0,1,0,0,1,0,0,1,1,0,1
0,1,0,0,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0,0,1,0
0,1,0,1,1,1,1,1,1,1,1
1,0,0,1,0,0,1,1,0,0,1
1,1,0,1,1,0,1,1,0,1,1
1,0,0,1,1,1,0,0,0,1,1
1,0,0,0,1,0,1,1,0,0,1
1,0,0,0,0,0,1,0,0,1,0
1,0,1,0,0,1,1,1,1,0,1
0,1,0,1,1,0,1,1,0,1,1
0,1,0,0,0,0,0,1,0,1,0
0,1,1,1,0,0,1,1,1,1,1
0,0,1,0,1,0,1,0,0,1,1
1,0,1,1,0,1,1,0,0,0,1
0,0,0,0,0,0,1,1,1,0,1
1,1,0,0,0,1,1,1,1,1,1
0,1,0,0,1,1,1,0,1,0,1
0,0,0,0,1,1,1,1,0,0,1
1,0,1,1,0,0,0,1,0,0,1
1,1,0,1,0,1,1,1,1,1,1
0,1,1,0,0,0,0,0,1,0,0
1,1,0,0,0,1,1,1,0,0,1
0,1,0,1,1,1,1,1,0,0,1
1,1,1,1,0,0,0,1,0,1,1
1,1,0,0,1,0,1,0,0,0,0
1,0,0,1,1,0,1,1,0,0,1
1,1,0,1,0,0,0,1,0,0,0
0,0,1,0,1,0,1,0,0,0,1
0,0,1,0,0,0,1,1,0,1,1
0,0,0,1,1,0,0,1,1,0,1
0,0,0,1,1,0,1,0,1,1,1
0,0,0,0,0,1,0,1,1,0,1
1,0,1,1,1,0,0,1,0,0,1
1,0,0,0,0,1,1,0,0,1,0
0,1,0,0,0,1,1,1,0,1,1
1,1,1,1,1,1,1,0,1,0,1
0,1,1,0,1,0,1,0,0,1,1
1,1,1,0,1,0,0,1,0,1,1
1,1,1,0,1,1,1,0,1,1,1
0,0,1,0,1,0,1,0,1,0,1
1,0,1,0,0,1,0,1,0,1,1
0,1,0,0,0,1,1,1,1,1,1
1,1,0,0,0,0,1,1,1,0,1
0,0,0,1,0,1,1,1,1,0,1
0,1,1,1,0,0,1,1,1,0,1
0,0,0,0,1,0,0,0,0,1,0
0,1,1,0,0,0,0,1,0,0,0
0,0,0,0,0,1,1,1,0,1,1
1,1,0,0,1,0,1,1,0,0,1
1,1,0,1,1,1,0,1,1,0,1
0,0,1,0,0,0,1,0,0,0,0
0,0,0,1,1,0,1,1,1,0,1
1,0,0,0,1,1,0,1,0,1,1
1,0,1,0,0,0,1,0,1,0,1
0,0,1,1,1,1,1,0,0,1,1
1,0,0,0,1,0,1,1,0,1,1
1,1,0,1,1,1,0,1,1,1,1
1,1,1,0,1,0,1,0,0,0,1
1,0,0,1,0,1,1,1,1,0,1
1,0,0,1,1,1,0,0,1,1,1
0,1,0,1,1,1,1,0,0,0,1
1,1,1,1,0,0,1,1,0,1,1
0,1,0,1,1,0,1,1,1,0,1
1,1,1,0,1,1,1,0,0,1,1
1,1,1,0,0,1,1,1,0,1,1
0,0,1,1,0,1,1,1,1,0,1
1,1,0,1,1,1,0,0,1,0,1
1,1,1,0,1,0,1,0,1,1,1
1,1,0,1,0,1,0,1,1,0,1
0,1,0,1,0,0,1,0,1,1,1
1,0,1,0,0,0,1,1,1,0,1
0,1,1,0,1,0,0,0,0,1,0
1,0,0,1,0,1,1,0,0,0,1
0,0,1,0,1,1,1,0,1,1,1
0,1,1,1,1,1,1,0,1,1,1
1,0,0,0,0,1,0,1,0,1,0
0,1,1,0,0,0,0,0,1,1,0
1,0,1,1,0,1,1,1,1,0,1
1,1,1,1,1,1,0,0,1,1,1
1,0,1,0,0,1,0,0,1,0,1
1,1,0,0,1,1,0,0,1,0,1
0,0,1,0,1,1,1,1,0,1,1
0,0,1,0,0,1,1,0,1,0,1
0,1,1,0,0,0,1,0,0,1,0
1,0,1,1,1,0,1,1,0,1,1
0,0,1,0,0,0,1,0,1,0,1
0,1,1,1,1,0,1,1,1,1,1
0,0,1,0,1,0,0,1,0,1,1
1,0,1,1,1,1,1,0,1,1,1
1,0,0,1,1,0,0,1,0,1,1
0,0,1,0,0,0,1,1,1,1,1
1,1,0,0,0,1,0,0,1,0,0
1,0,1,0,1,0,0,1,0,1,1
1,0,1,0,0,0,0,1,0,0,0
0,1,1,0,0,1,1,0,0,0,1
0,0,0,0,1,0,0,1,0,0,0
0,1,1,1,1,1,0,1,0,0,1
0,0,0,0,1,0,1,0,0,0,0
0,1,1,1,1,1,1,1,1,1,1
1,1,0,0,0,1,1,0,0,1,0
0,0,0,1,0,0,1,0,1,0,1
1,1,0,0,0,1,0,0,0,0,0
1,1,0,1,1,1,1,1,0,1,1
1,0,1,1,0,0,1,1,1,0,1
0,1,0,1,0,1,0,1,1,0,1
0,0,0,0,1,0,1,1,0,1,1
1,0,1,1,1,0,1,0,0,0,1
0,0,1,0,0,1,1,1,0,0,1
1,1,1,0,1,0,1,1,0,0,1
0,0,0,1,0,0,0,1,1,1,1
0,0,0,0,1,1,1,1,1,1,1
1,1,0,0,1,1,0,1,0,1,1
0,1,0,0,1,0,1,0,0,1,0
0,1,0,0,0,0,0,1,1,1,0
1,0,1,0,1,0,0,1,0,0,1
0,1,1,0,0,1,0,1,1,0,1
0,1,0,1,0,1,1,1,0,0,1
1,0,0,0,0,0,1,1,0,1,0
1,1,0,1,1,0,0,0,1,0,1
0,0,1,1,0,0,1,0,0,1,1
1,1,1,0,1,1,0,0,0,0,1
0,1,0,1,0,0,1,1,0,0,1
